approved,income,loan_amount,credit_history,employment_type,existing_loans,gender,age_group,geography
1,44178.75075654076,280000,5,Employed,2,Male,Middle-aged,Rural
1,51225.97814336236,360000,5,Employed,2,Male,Middle-aged,Suburban
1,34064.98429309165,70000,5,Employed,2,Female,Young,Urban
1,31509.357005135134,10000,5,Self-Employed,2,Male,Young,Suburban
1,54253.699534857806,140000,5,Self-Employed,1,Female,Middle-aged,Urban
1,44768.39531209929,40000,5,Employed,2,Female,Young,Rural
0,50683.44810851853,210000,5,Employed,2,Male,Young,Suburban
0,38450.403096690956,20000,5,Employed,2,Female,Young,Rural
0,62168.69540675786,150000,5,Employed,2,Female,Middle-aged,Rural
1,51283.794377830636,380000,5,Self-Employed,2,Male,Middle-aged,Suburban
1,34048.5552861231,20000,5,Employed,2,Male,Young,Urban
0,61183.65699231352,70000,4,Unemployed,2,Male,Middle-aged,Urban
1,63253.76070507356,100000,5,Unemployed,3,Female,Middle-aged,Suburban
1,64733.5374071276,310000,5,Self-Employed,1,Female,Middle-aged,Rural
1,43595.635802035045,180000,4,Employed,2,Female,Young,Urban
1,35143.933589560926,150000,3,Employed,2,Female,Young,Urban
1,64131.31641065504,500000,5,Employed,1,Female,Middle-aged,Rural
1,49511.91010443553,180000,5,Unemployed,1,Female,Middle-aged,Rural
1,53501.51974373757,180000,5,Self-Employed,1,Female,Middle-aged,Suburban
1,53410.833896922806,200000,5,Employed,2,Female,Middle-aged,Urban
1,39907.32412752043,400000,5,Self-Employed,1,Female,Young,Urban
0,42207.81454765444,500000,5,Unemployed,1,Female,Young,Rural
1,46843.86273690227,70000,5,Self-Employed,1,Male,Middle-aged,Urban
0,51496.52898886528,50000,3,Employed,2,Male,Young,Rural
0,71486.06326693855,50000,5,Self-Employed,1,Female,Middle-aged,Suburban
1,73874.44450847844,130000,5,Self-Employed,1,Female,Senior,Suburban
0,88084.59734799758,200000,5,Employed,1,Male,Senior,Rural
0,81668.63418333503,10000,3,Self-Employed,1,Male,Senior,Urban
1,45440.04667132591,210000,3,Employed,2,Female,Young,Urban
1,39997.9165334507,130000,4,Unemployed,2,Female,Young,Rural
1,38020.10123948338,20000,3,Employed,2,Male,Young,Urban
1,44559.26411753451,80000,5,Employed,2,Male,Middle-aged,Rural
0,34738.07040222823,320000,3,Self-Employed,2,Male,Young,Rural
1,53714.2790539104,200000,5,Self-Employed,1,Female,Middle-aged,Suburban
1,54045.47042514952,290000,4,Employed,2,Female,Middle-aged,Urban
1,56790.8115807718,340000,5,Employed,2,Male,Middle-aged,Rural
1,38385.72695016016,20000,5,Self-Employed,2,Male,Young,Rural
1,41706.45121066583,50000,5,Unemployed,2,Male,Young,Rural
1,61343.20915855453,300000,5,Employed,1,Female,Middle-aged,Rural
0,28181.773787775397,30000,5,Self-Employed,2,Female,Young,Urban
0,65432.74512670282,240000,4,Self-Employed,2,Female,Middle-aged,Suburban
1,53345.594842896164,470000,5,Unemployed,3,Female,Middle-aged,Rural
1,36011.47911240401,360000,5,Employed,2,Female,Young,Suburban
0,46192.08262609383,60000,5,Unemployed,2,Male,Young,Urban
1,69343.00220726109,400000,5,Self-Employed,1,Female,Middle-aged,Suburban
1,78595.68306512602,50000,5,Unemployed,2,Female,Middle-aged,Urban
1,50062.57420623096,160000,5,Self-Employed,2,Male,Middle-aged,Rural
0,57766.0831517481,360000,5,Employed,1,Female,Middle-aged,Rural
1,49226.94800796005,160000,5,Self-Employed,2,Female,Middle-aged,Suburban
1,52098.61403132496,130000,5,Employed,1,Female,Middle-aged,Suburban
1,63400.53656193664,20000,3,Unemployed,2,Male,Middle-aged,Suburban
0,81099.52085325497,200000,3,Employed,1,Male,Senior,Rural
1,52288.3048026171,280000,5,Employed,2,Female,Middle-aged,Urban
1,43126.500133676025,100000,5,Employed,2,Female,Young,Suburban
1,60562.558170948345,160000,5,Self-Employed,1,Female,Middle-aged,Urban
1,37098.77607690644,60000,5,Self-Employed,2,Female,Young,Suburban
1,45061.433296610274,90000,5,Self-Employed,2,Male,Middle-aged,Rural
1,55170.03381783227,360000,5,Employed,1,Male,Middle-aged,Urban
1,38704.80200712847,150000,5,Employed,2,Male,Young,Suburban
1,44214.51848582199,50000,5,Unemployed,1,Female,Young,Rural
0,49569.15559852372,20000,5,Self-Employed,1,Male,Middle-aged,Suburban
1,48930.51479143471,140000,5,Employed,2,Male,Middle-aged,Suburban
1,39943.77575074947,380000,5,Employed,2,Female,Young,Urban
1,97515.81851732741,480000,5,Employed,1,Male,Senior,Rural
0,37020.882010579415,50000,5,Unemployed,2,Female,Young,Urban
1,40753.44640290562,60000,3,Self-Employed,2,Female,Young,Suburban
1,43080.545337949894,70000,5,Self-Employed,2,Female,Young,Urban
1,54145.86287491862,80000,5,Self-Employed,1,Female,Middle-aged,Rural
1,80346.75293083915,350000,5,Employed,2,Male,Senior,Urban
1,64187.29122596887,130000,5,Self-Employed,2,Male,Middle-aged,Suburban
1,57133.89867199859,360000,4,Self-Employed,1,Male,Middle-aged,Rural
1,51001.34030405199,330000,5,Employed,1,Female,Middle-aged,Suburban
1,71292.67801350863,50000,5,Unemployed,1,Male,Middle-aged,Suburban
1,57327.466142913494,280000,3,Self-Employed,1,Male,Middle-aged,Suburban
1,39438.838047500394,100000,5,Employed,2,Female,Young,Urban
1,62721.17186973322,50000,5,Self-Employed,2,Male,Middle-aged,Rural
0,37223.84099076621,30000,5,Employed,2,Male,Young,Urban
1,49314.64437898016,240000,5,Employed,2,Male,Young,Rural
0,36440.595581952475,80000,3,Self-Employed,2,Male,Young,Urban
1,47740.77163962782,400000,5,Self-Employed,1,Male,Middle-aged,Urban
1,50318.39282449221,240000,5,Self-Employed,2,Female,Middle-aged,Rural
0,57929.00693298863,50000,3,Unemployed,2,Male,Middle-aged,Suburban
0,67003.51584885911,450000,4,Employed,1,Male,Middle-aged,Suburban
1,70502.66296676065,110000,4,Employed,1,Female,Middle-aged,Suburban
0,49298.122209860354,310000,3,Self-Employed,1,Female,Middle-aged,Suburban
1,38314.71429935917,20000,5,Employed,2,Male,Young,Rural
1,33630.49338298003,20000,4,Self-Employed,2,Male,Young,Urban
1,75225.91701661258,200000,5,Unemployed,2,Male,Senior,Rural
0,52997.66012463252,180000,5,Employed,1,Male,Middle-aged,Rural
0,68908.52639052653,50000,5,Self-Employed,1,Male,Senior,Urban
1,85866.2594244341,60000,2,Unemployed,1,Male,Senior,Rural
1,38351.71727662234,30000,4,Employed,2,Female,Young,Suburban
1,55841.58534634994,240000,4,Employed,2,Male,Middle-aged,Suburban
1,47820.40892060737,420000,5,Self-Employed,1,Male,Middle-aged,Suburban
1,68304.4397583777,330000,5,Unemployed,1,Male,Middle-aged,Urban
1,34340.80940018923,30000,5,Self-Employed,2,Female,Young,Urban
1,44047.97502633349,240000,5,Self-Employed,1,Male,Middle-aged,Urban
1,41511.29632633965,150000,5,Employed,2,Male,Young,Rural
1,40811.336790063855,210000,5,Self-Employed,1,Female,Middle-aged,Suburban
0,74910.39320906313,50000,5,Unemployed,1,Female,Senior,Suburban
1,32116.283349235324,50000,5,Employed,2,Male,Young,Rural
0,65209.303106526546,240000,4,Employed,2,Male,Middle-aged,Urban
1,46492.67256472379,180000,5,Self-Employed,2,Male,Young,Rural
1,39060.559768406325,50000,4,Self-Employed,2,Male,Young,Rural
1,46562.46848612222,170000,5,Self-Employed,2,Male,Young,Rural
1,40311.40020813851,20000,5,Employed,2,Male,Young,Urban
1,40776.96530595542,50000,5,Employed,2,Male,Young,Urban
0,39302.35935098576,170000,5,Self-Employed,2,Female,Young,Rural
1,57683.18917700288,200000,4,Employed,2,Male,Middle-aged,Urban
1,39717.990057056944,80000,4,Self-Employed,1,Female,Young,Urban
1,100987.13593012159,260000,4,Employed,1,Female,Senior,Urban
1,53355.62020753153,140000,5,Self-Employed,1,Male,Middle-aged,Suburban
1,40803.037234697695,80000,5,Employed,2,Male,Young,Suburban
1,70266.47882012709,350000,4,Employed,2,Male,Middle-aged,Urban
1,93990.13112784855,280000,5,Self-Employed,1,Female,Senior,Suburban
1,35401.53777634515,30000,5,Unemployed,2,Female,Young,Suburban
1,52837.416621059536,140000,5,Employed,1,Male,Middle-aged,Urban
1,54521.72593492758,200000,5,Employed,2,Female,Middle-aged,Rural
1,42706.438243948425,200000,5,Unemployed,2,Female,Young,Suburban
0,74312.71864892676,210000,3,Unemployed,1,Male,Middle-aged,Rural
1,90586.8717658273,50000,2,Unemployed,1,Male,Senior,Urban
1,58397.615019710596,30000,3,Employed,2,Male,Middle-aged,Urban
1,50978.25055028385,50000,3,Self-Employed,2,Male,Young,Urban
1,68689.26671291323,290000,5,Unemployed,1,Male,Middle-aged,Suburban
1,51295.66848053507,250000,5,Employed,1,Female,Middle-aged,Urban
1,66440.25678185343,60000,5,Self-Employed,1,Female,Middle-aged,Rural
1,41139.09690209793,110000,5,Employed,2,Female,Young,Suburban
1,72364.7591371031,370000,5,Employed,2,Male,Middle-aged,Urban
1,40928.09260957821,100000,5,Self-Employed,1,Male,Young,Suburban
1,50897.454117038804,90000,5,Self-Employed,1,Female,Middle-aged,Suburban
1,37956.278553835764,50000,5,Self-Employed,2,Female,Young,Suburban
1,61856.978432185766,270000,5,Self-Employed,2,Male,Middle-aged,Urban
1,39149.07140712018,300000,5,Employed,2,Female,Young,Suburban
1,30822.790204162684,50000,5,Self-Employed,2,Female,Young,Urban
0,33430.33286574395,50000,4,Employed,2,Female,Young,Urban
1,47677.3004478493,360000,4,Employed,2,Male,Young,Urban
0,85214.40800660252,130000,4,Unemployed,1,Male,Senior,Urban
1,39796.48534450641,80000,5,Employed,2,Male,Young,Urban
1,52360.85436416954,50000,4,Self-Employed,2,Male,Young,Rural
1,28371.94773479805,20000,5,Self-Employed,2,Female,Young,Suburban
1,38514.50545169952,80000,5,Self-Employed,1,Female,Young,Suburban
1,56149.51466423042,240000,5,Employed,2,Male,Middle-aged,Urban
1,56870.81358739539,80000,5,Unemployed,2,Female,Middle-aged,Suburban
1,67756.27774953279,500000,5,Employed,1,Female,Middle-aged,Urban
0,36699.21219549009,60000,5,Self-Employed,1,Female,Young,Urban
1,38443.946710037315,20000,5,Self-Employed,2,Male,Young,Rural
0,63435.120222510595,100000,4,Self-Employed,1,Female,Middle-aged,Urban
1,51064.47453500102,360000,4,Employed,2,Female,Middle-aged,Rural
0,71005.20380691485,200000,3,Unemployed,2,Female,Middle-aged,Suburban
1,47030.73365110769,130000,4,Self-Employed,1,Female,Middle-aged,Rural
1,49354.452246621564,20000,4,Self-Employed,2,Female,Middle-aged,Urban
1,48431.62126094227,310000,5,Employed,2,Male,Middle-aged,Urban
0,38519.69700834284,60000,3,Employed,2,Female,Young,Urban
1,31730.794922448033,180000,5,Employed,2,Female,Young,Suburban
1,24593.87055267131,180000,5,Employed,2,Female,Young,Suburban
1,50657.13596724487,50000,5,Self-Employed,1,Male,Middle-aged,Rural
0,33293.36393697882,50000,4,Employed,2,Female,Young,Urban
1,50765.04691737107,150000,5,Self-Employed,1,Female,Middle-aged,Rural
1,38747.82097946943,20000,5,Employed,2,Female,Young,Suburban
1,43616.570172794505,500000,5,Employed,1,Female,Middle-aged,Suburban
0,36370.113889870656,30000,4,Unemployed,2,Female,Young,Urban
1,53981.09730110792,180000,5,Employed,1,Female,Middle-aged,Urban
1,49869.8127029002,140000,5,Employed,2,Male,Middle-aged,Suburban
1,39135.08110665979,140000,5,Employed,2,Female,Young,Rural
1,32838.47140158397,120000,5,Self-Employed,2,Male,Young,Suburban
1,70874.5365197606,360000,5,Self-Employed,1,Female,Middle-aged,Rural
1,62978.09602217969,20000,5,Unemployed,1,Male,Middle-aged,Rural
1,59442.83221414681,100000,5,Employed,1,Male,Middle-aged,Suburban
0,72793.84540601089,210000,5,Self-Employed,1,Female,Middle-aged,Suburban
0,39454.952647876424,80000,5,Self-Employed,2,Female,Young,Suburban
1,79065.66926889376,330000,5,Employed,1,Female,Middle-aged,Urban
1,36431.28454467226,220000,5,Employed,2,Male,Young,Rural
0,62400.676163198856,210000,4,Employed,1,Female,Middle-aged,Urban
1,58627.98479654615,40000,5,Unemployed,1,Female,Middle-aged,Rural
1,61811.30344753504,30000,5,Self-Employed,2,Male,Middle-aged,Urban
1,43014.210132437904,470000,3,Self-Employed,2,Male,Young,Suburban
1,60823.364913544865,30000,5,Unemployed,1,Male,Middle-aged,Suburban
0,55318.59946042573,240000,4,Self-Employed,1,Female,Middle-aged,Rural
1,53088.581381151016,80000,3,Self-Employed,2,Male,Middle-aged,Rural
1,46745.7442284697,110000,5,Unemployed,0,Female,Middle-aged,Suburban
1,61394.12468450865,310000,5,Employed,2,Female,Middle-aged,Rural
0,51419.14491196708,360000,3,Employed,1,Female,Middle-aged,Rural
1,71607.21295054612,330000,5,Unemployed,2,Female,Middle-aged,Suburban
1,49744.94754912774,300000,5,Self-Employed,2,Female,Middle-aged,Urban
1,48267.974705959474,320000,5,Self-Employed,2,Female,Middle-aged,Urban
0,50420.89799990201,50000,4,Unemployed,2,Female,Middle-aged,Rural
1,45380.629816920205,170000,5,Employed,2,Female,Young,Rural
1,68419.7155052093,350000,5,Unemployed,1,Male,Middle-aged,Urban
1,62434.02692563665,20000,5,Self-Employed,1,Male,Middle-aged,Suburban
0,36419.32465351816,50000,3,Self-Employed,2,Male,Young,Urban
1,39001.84259525985,20000,4,Unemployed,2,Female,Young,Suburban
1,30718.958359169825,50000,5,Employed,2,Female,Young,Rural
0,39438.14195023505,20000,4,Self-Employed,2,Male,Young,Urban
1,42046.73301354153,50000,5,Self-Employed,1,Male,Young,Rural
0,47488.58694639829,190000,3,Self-Employed,2,Male,Middle-aged,Suburban
1,54946.264614292726,60000,5,Self-Employed,1,Female,Middle-aged,Urban
1,50671.682572081096,80000,5,Employed,2,Male,Middle-aged,Suburban
1,40799.71232508266,150000,5,Self-Employed,2,Female,Young,Urban
1,47793.326434030605,210000,5,Employed,2,Female,Middle-aged,Urban
0,70191.15543991994,240000,5,Unemployed,1,Female,Middle-aged,Urban
0,66267.3552653338,140000,5,Self-Employed,3,Female,Middle-aged,Rural
1,35514.58218679172,60000,4,Employed,2,Female,Young,Rural
1,61361.08632058708,50000,5,Employed,2,Male,Middle-aged,Rural
1,54546.72223067461,50000,5,Self-Employed,2,Female,Young,Suburban
1,57076.40107330128,180000,5,Employed,2,Female,Middle-aged,Urban
1,59242.43034966524,30000,5,Employed,2,Female,Middle-aged,Suburban
1,49043.41977493391,20000,5,Self-Employed,2,Female,Middle-aged,Rural
1,110259.6777467297,250000,5,Self-Employed,1,Female,Senior,Urban
1,30312.753174849342,100000,5,Self-Employed,2,Female,Young,Urban
1,47403.42479453316,330000,5,Employed,2,Male,Young,Suburban
1,68029.51009411122,50000,5,Unemployed,1,Male,Middle-aged,Rural
1,38211.125246519565,50000,4,Self-Employed,2,Female,Young,Rural
1,41075.33724304872,30000,5,Self-Employed,2,Male,Young,Suburban
0,44574.32826399254,140000,5,Self-Employed,2,Female,Young,Rural
1,36492.83297151412,160000,5,Employed,2,Female,Young,Urban
1,39629.26330681674,400000,5,Self-Employed,2,Female,Young,Urban
1,34212.305492366126,50000,5,Self-Employed,1,Male,Young,Urban
1,71012.08213734634,140000,5,Self-Employed,1,Female,Middle-aged,Rural
1,52881.45122154035,160000,5,Self-Employed,1,Female,Middle-aged,Urban
1,62593.84882136619,100000,5,Unemployed,1,Female,Middle-aged,Rural
0,80701.13485549092,220000,3,Employed,1,Male,Middle-aged,Suburban
1,46725.1516868593,510000,5,Employed,2,Female,Young,Suburban
1,41158.68788219537,50000,5,Self-Employed,2,Male,Young,Suburban
1,58071.75718411722,160000,5,Employed,1,Female,Middle-aged,Suburban
1,52662.40103716419,230000,5,Employed,2,Female,Middle-aged,Suburban
1,46620.260930756886,80000,5,Employed,2,Female,Middle-aged,Rural
1,36956.83460941033,150000,5,Self-Employed,1,Female,Young,Suburban
1,30149.799140614392,10000,5,Unemployed,2,Male,Young,Suburban
0,70677.8354922055,130000,5,Unemployed,2,Female,Middle-aged,Urban
1,70717.55203538688,40000,5,Employed,2,Female,Middle-aged,Rural
0,41647.710664811755,50000,2,Self-Employed,2,Male,Young,Rural
1,50309.5271875745,100000,5,Unemployed,2,Male,Middle-aged,Suburban
1,38599.2936954889,120000,5,Employed,1,Male,Middle-aged,Urban
0,83159.91087953708,260000,4,Employed,2,Female,Senior,Urban
1,51129.95191050392,200000,5,Self-Employed,2,Female,Middle-aged,Suburban
0,43605.791436179155,360000,5,Self-Employed,2,Female,Young,Suburban
1,44397.8486282629,70000,5,Self-Employed,2,Female,Middle-aged,Suburban
0,65375.69078012876,460000,3,Employed,1,Male,Middle-aged,Urban
1,42063.17463898105,50000,5,Employed,2,Female,Young,Suburban
1,56262.85549717932,50000,5,Unemployed,1,Male,Middle-aged,Suburban
1,41187.240622478705,250000,5,Self-Employed,1,Female,Middle-aged,Urban
1,36488.514083286216,30000,5,Employed,2,Female,Young,Rural
1,64635.47450194868,270000,5,Self-Employed,1,Male,Middle-aged,Urban
1,49635.57758969109,180000,5,Unemployed,2,Female,Young,Rural
1,44430.514121768094,100000,5,Employed,2,Female,Young,Suburban
1,50206.55617619773,230000,5,Unemployed,1,Female,Middle-aged,Urban
1,69260.82970619215,210000,5,Employed,1,Female,Middle-aged,Urban
1,57557.66835178502,210000,3,Employed,2,Male,Middle-aged,Rural
1,71970.62814151289,440000,5,Self-Employed,1,Female,Middle-aged,Rural
0,35920.97528980226,100000,3,Self-Employed,2,Female,Young,Suburban
1,67948.03998602163,240000,5,Self-Employed,1,Female,Middle-aged,Suburban
0,46082.765420895565,280000,5,Employed,2,Male,Middle-aged,Rural
0,31335.680322967204,50000,4,Self-Employed,2,Female,Young,Urban
1,61915.55031851679,30000,2,Self-Employed,1,Male,Middle-aged,Suburban
0,33780.19971330426,10000,5,Self-Employed,2,Male,Young,Suburban
1,46291.009128623096,130000,4,Employed,2,Male,Young,Urban
1,38702.26818398997,200000,5,Employed,2,Male,Middle-aged,Urban
1,45278.99323926762,120000,5,Self-Employed,1,Female,Young,Rural
1,56357.273528562335,210000,5,Self-Employed,1,Female,Middle-aged,Rural
1,58766.996486934746,280000,5,Employed,1,Female,Middle-aged,Rural
0,54904.290074234945,300000,4,Employed,2,Male,Middle-aged,Rural
1,51931.75513054806,100000,5,Self-Employed,2,Male,Middle-aged,Suburban
1,43806.10495040029,440000,5,Employed,2,Female,Middle-aged,Suburban
1,62619.84674544989,50000,5,Unemployed,1,Female,Middle-aged,Rural
0,39992.83736354045,20000,5,Employed,2,Female,Young,Suburban
1,30202.614213041692,200000,5,Employed,2,Female,Young,Rural
1,38407.19565390996,110000,5,Self-Employed,2,Female,Young,Rural
1,50048.347903310365,500000,5,Self-Employed,1,Female,Middle-aged,Urban
1,32122.844632538887,300000,4,Self-Employed,1,Female,Young,Urban
0,71855.08240217833,30000,3,Unemployed,1,Male,Senior,Suburban
1,38734.241202007084,60000,5,Employed,2,Female,Young,Suburban
1,51777.071262738114,400000,5,Self-Employed,1,Female,Middle-aged,Rural
1,50660.208834155084,180000,5,Self-Employed,1,Female,Middle-aged,Suburban
1,55030.878600442935,20000,5,Employed,2,Male,Middle-aged,Urban
0,71808.69122517134,200000,5,Unemployed,1,Female,Middle-aged,Urban
1,37853.035123101596,100000,5,Employed,2,Male,Young,Suburban
0,39776.39399023074,60000,5,Self-Employed,2,Male,Young,Suburban
1,48027.77913839448,110000,5,Self-Employed,2,Female,Middle-aged,Rural
1,77980.10558060058,260000,4,Unemployed,1,Female,Senior,Urban
1,63102.53730731226,50000,2,Unemployed,1,Female,Middle-aged,Suburban
1,38265.242421856645,180000,4,Self-Employed,2,Male,Young,Urban
0,40134.48383216556,110000,4,Self-Employed,2,Male,Young,Urban
1,28589.489482300334,340000,5,Employed,2,Female,Young,Urban
1,38105.60276403118,50000,5,Self-Employed,2,Male,Young,Rural
0,40951.99289848307,230000,5,Self-Employed,1,Female,Young,Rural
1,57494.424620060236,360000,5,Self-Employed,2,Female,Middle-aged,Rural
1,68143.09989755547,210000,4,Self-Employed,2,Male,Middle-aged,Suburban
0,68294.9058349966,220000,5,Self-Employed,1,Female,Middle-aged,Suburban
0,48945.15219624004,60000,3,Self-Employed,1,Female,Middle-aged,Rural
1,74229.04956029235,340000,5,Self-Employed,1,Male,Senior,Suburban
1,59084.19543019074,150000,3,Employed,1,Male,Middle-aged,Suburban
0,51307.78990130669,200000,4,Self-Employed,1,Female,Middle-aged,Suburban
0,62067.43481612262,130000,5,Self-Employed,2,Female,Middle-aged,Suburban
1,45418.7509835261,60000,4,Employed,2,Female,Young,Suburban
1,75217.7452619084,400000,4,Self-Employed,1,Female,Middle-aged,Suburban
1,36651.38681765464,20000,5,Employed,2,Male,Young,Urban
1,42533.003446747454,190000,5,Employed,2,Female,Young,Urban
1,49633.379108400186,260000,5,Employed,2,Female,Young,Suburban
1,50038.30496479306,140000,5,Self-Employed,2,Female,Middle-aged,Suburban
0,58791.75975690144,50000,5,Self-Employed,1,Female,Middle-aged,Rural
1,54229.17661425483,120000,5,Employed,2,Female,Middle-aged,Urban
1,41768.73424627209,240000,5,Self-Employed,2,Female,Young,Rural
1,50970.2524428395,50000,5,Self-Employed,2,Male,Middle-aged,Suburban
1,46791.4318892152,200000,5,Employed,2,Female,Young,Suburban
1,64332.055342910986,180000,5,Employed,1,Male,Middle-aged,Suburban
1,33093.619169411424,180000,5,Employed,2,Female,Young,Rural
1,47896.807731116234,160000,5,Employed,2,Female,Young,Rural
1,35728.82773752195,100000,5,Self-Employed,2,Female,Young,Suburban
0,41482.62724508673,50000,5,Self-Employed,2,Female,Young,Suburban
1,43156.38512641671,140000,5,Self-Employed,2,Female,Middle-aged,Rural
0,37798.086545436476,30000,5,Self-Employed,2,Female,Young,Suburban
1,40346.708009890004,90000,5,Employed,2,Male,Young,Urban
1,54366.376575198425,200000,4,Employed,1,Male,Middle-aged,Suburban
0,42737.619125105964,380000,4,Employed,2,Male,Young,Urban
1,64823.50464397547,80000,5,Self-Employed,2,Female,Middle-aged,Rural
1,93360.395571278,50000,3,Unemployed,1,Male,Senior,Urban
0,68021.21646451528,180000,5,Self-Employed,1,Male,Middle-aged,Suburban
1,40668.90048417544,240000,5,Self-Employed,2,Female,Young,Urban
1,53443.30449479192,380000,5,Self-Employed,2,Male,Middle-aged,Urban
1,36350.97759070036,110000,5,Employed,2,Female,Young,Suburban
1,56900.654813065696,260000,5,Employed,1,Male,Middle-aged,Rural
0,34572.10646405388,500000,1,Self-Employed,2,Female,Young,Urban
1,47078.998983977406,320000,5,Self-Employed,2,Female,Young,Rural
1,41829.02776948651,50000,1,Self-Employed,2,Male,Middle-aged,Suburban
0,53502.45898032465,110000,4,Employed,1,Male,Middle-aged,Suburban
1,54160.87652406664,230000,5,Employed,2,Female,Middle-aged,Rural
1,91209.42374077978,330000,4,Self-Employed,1,Female,Senior,Rural
1,89286.03952212562,50000,5,Self-Employed,1,Female,Senior,Rural
1,40149.22754274684,10000,5,Self-Employed,2,Male,Young,Suburban
1,51923.508006116295,300000,4,Employed,1,Male,Middle-aged,Rural
0,45479.980017437585,20000,2,Self-Employed,1,Female,Middle-aged,Urban
0,54184.8636182984,180000,3,Self-Employed,1,Male,Middle-aged,Suburban
1,43179.65366673914,160000,5,Employed,2,Male,Young,Rural
1,49532.975587645065,90000,5,Employed,2,Female,Middle-aged,Urban
1,78511.06180703484,30000,5,Unemployed,3,Male,Senior,Suburban
1,69875.1756820633,180000,5,Employed,1,Male,Middle-aged,Rural
1,89410.71532242262,30000,5,Unemployed,1,Male,Senior,Urban
1,61355.32070263325,30000,4,Self-Employed,1,Male,Middle-aged,Rural
1,45599.43421366842,140000,5,Employed,2,Female,Young,Rural
1,37931.96777191266,210000,5,Employed,2,Male,Young,Rural
0,49006.418715506225,50000,5,Self-Employed,2,Male,Middle-aged,Suburban
1,54853.98642953004,130000,5,Self-Employed,2,Female,Young,Urban
0,56902.38929180232,50000,3,Self-Employed,1,Female,Middle-aged,Suburban
1,52268.46077026856,140000,5,Unemployed,1,Male,Middle-aged,Urban
0,44919.533148843046,170000,5,Self-Employed,2,Female,Young,Rural
1,36938.251452818295,80000,5,Self-Employed,2,Male,Young,Rural
1,62517.513987156184,410000,5,Employed,1,Female,Middle-aged,Rural
1,36419.55287640262,80000,4,Employed,2,Female,Young,Rural
0,105054.61895341724,80000,5,Unemployed,1,Male,Senior,Rural
1,56561.788807621124,150000,5,Self-Employed,1,Male,Middle-aged,Urban
0,43250.18709169727,260000,5,Employed,1,Male,Young,Rural
1,63051.58049457986,350000,4,Employed,1,Male,Middle-aged,Urban
0,53576.178253808604,280000,4,Self-Employed,1,Female,Middle-aged,Suburban
1,55305.65815157408,310000,5,Self-Employed,1,Male,Middle-aged,Rural
1,45770.44081437532,140000,5,Self-Employed,2,Female,Young,Rural
1,80173.87395272548,360000,5,Employed,1,Male,Senior,Rural
1,47565.90299442791,140000,5,Employed,2,Female,Young,Suburban
1,53845.88060410295,100000,5,Employed,2,Male,Middle-aged,Rural
